PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 RAW_spectral_flatness,H0 FILTERED_spectral_centroid_hz,H0 FILTERED_time_to_secondary_peak_ms,H0 RAW_rise_time_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms
H0_Closest_0FT_epoch_0,H0,0FT,False,0,True,1.97142744175,False,TOO_LATE,True,0.85,0.2698756,31952.557938277354,0,0.17792,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_1,H0,0FT,True,0,True,1.0336559217499999,True,VALID,True,0.99,0.22947253,32014.452823415377,0.47231999999999996,0.16768,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_10,H0,0FT,True,0,True,1.00379608175,True,VALID,True,0.95,0.25633472,31976.442917498956,7.14752,4.21632,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_11,H0,0FT,True,0,True,0.15111128175,True,VALID,True,0.96,0.23225124,32040.577630977532,7.0527999999999995,4.1843200000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_12,H0,0FT,True,0,True,1.26870104175,True,VALID,True,0.97,0.23735517,32064.951371387335,0,0.16255999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_13,H0,0FT,True,0,True,0.33941848175,True,VALID,True,0.98,0.24148992,31990.13229057009,0,0.24448,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_14,H0,0FT,True,0,True,1.5445013617499999,True,VALID,True,0.98,0.22231743,31997.254956643417,4.908799999999999,3.264,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_15,H0,0FT,True,0,True,0.64635736175,True,VALID,True,0.95,0.31193325,32015.491047042127,0,0.1472,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_16,H0,0FT,True,0,True,1.7889903217499998,True,VALID,True,0.98,0.23932442,32049.24545379555,6.7776,4.20096,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_17,H0,0FT,True,0,True,0.94679640175,True,VALID,True,0.99,0.21521993,32057.87202446776,3.78496,2.42304,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_18,H0,0FT,True,0,True,0.11655640175000001,True,VALID,True,0.93,0.24679123,32017.124284216618,6.97216,3.9539199999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_19,H0,0FT,True,0,True,1.28728408175,True,VALID,True,0.98,0.2653485,32028.74970693063,0,0.15616,,,,,,,,,,,,,,,,,,,,,,,,,,,
